datum,artikel,format,release,betrag_eur,kaeufer_land
2026-05-01,Digital Album,Digital,Salzwasser,10.00,Deutschland
2026-05-02,LP Vinyl schwarz,Vinyl,Salzwasser,26.00,Deutschland
2026-05-02,Digital EP,Digital,Kühlkette,8.00,Niederlande
2026-05-03,T-Shirt Logo schwarz Gr. L,Merch-Shirt,Dritte Schicht,24.00,Deutschland
2026-05-03,Digital Single,Digital,Nachtfrost,8.00,USA
2026-05-04,Tote Bag Logo,Tote,Küstenlärm,15.00,Österreich
2026-05-05,Digital Album,Digital,Küstenlärm,12.00,Deutschland
2026-05-06,LP Vinyl farbig,Vinyl,Deichbruch,30.00,Vereinigtes Königreich
2026-05-07,Digital EP,Digital,Priel,9.00,Schweiz
2026-05-08,Digital EP,Digital,Erste Schicht,8.00,Deutschland
2026-05-09,T-Shirt Logo weiß Gr. M,Merch-Shirt,Landunter,22.00,Deutschland
2026-05-10,Digital Album,Digital,Salzwasser,11.00,Frankreich
2026-05-11,LP Vinyl schwarz,Vinyl,Kai,24.00,Deutschland
2026-05-12,Digital Single,Digital,Neonlicht,8.00,Schweden
2026-05-13,Tote Bag Logo,Tote,Blaue Stunde,16.00,Deutschland
2026-05-14,Digital EP,Digital,Überfahrt,8.00,Belgien
2026-05-15,LP Vinyl schwarz,Vinyl,Wattenmeer,25.00,Deutschland
2026-05-16,Digital EP,Digital,Tidenhub,8.00,USA
2026-05-17,T-Shirt Logo schwarz Gr. S,Merch-Shirt,Dritte Schicht,24.00,Polen
2026-05-18,Digital Album,Digital,Küstenlärm,13.00,Deutschland
2026-05-20,Digital Single,Digital,Nebelbank,8.00,Dänemark
2026-05-22,LP Vinyl farbig,Vinyl,Salzwasser,32.00,Deutschland
2026-05-24,Digital EP,Digital,Grauzone,8.00,Italien
2026-05-27,Tote Bag Logo,Tote,Dritte Schicht,14.00,Deutschland
2026-05-29,Digital Album,Digital,Deichbruch,10.00,Niederlande
2026-05-30,Digital Single,Digital,Nachtfrost,9.00,Deutschland
