gema_werknr,werk_titel,verteilungsart,betrag_eur,termin
GEMA-MOCK-100011,Frühschicht,Online-Nutzung,38.50,2026-03-31
GEMA-MOCK-100021,Halbschlaf,Tonträger,22.10,2026-03-31
GEMA-MOCK-100031,Kai,Online-Nutzung,64.30,2026-03-31
GEMA-MOCK-100051,Küstenlärm,Online-Nutzung,112.80,2026-03-31
GEMA-MOCK-100061,Grauzone,Bühnenaufführung,95.00,2026-03-31
GEMA-MOCK-100071,Neonlicht,Online-Nutzung,58.40,2026-03-31
GEMA-MOCK-100081,Überfahrt,Rundfunk,210.60,2026-03-31
GEMA-MOCK-100091,Tidenhub,Bühnenaufführung,340.00,2026-03-31
GEMA-MOCK-100101,Blaue Stunde,Online-Nutzung,76.90,2026-03-31
GEMA-MOCK-100111,Kühlkette,Bühnenaufführung,425.50,2026-03-31
GEMA-MOCK-100121,Landunter,zurückgestellt,0.00,offen
GEMA-MOCK-100131,Priel II,Online-Nutzung,48.20,2026-03-31
GEMA-MOCK-100141,Salzwasser,Online-Nutzung,630.75,2026-03-31
GEMA-MOCK-100151,Deichbruch,Tonträger,88.00,2026-03-31
GEMA-MOCK-100161,Nebelbank,Bühnenaufführung,512.30,2026-03-31
GEMA-MOCK-100171,Nachtfrost,Bühnenaufführung,289.40,2026-03-31
GEMA-MOCK-100181,Dritte Schicht,Online-Nutzung,33.60,2026-03-31
GEMA-MOCK-100122,Sturmflut B,Online-Nutzung,19.90,2026-03-31
