periode,buchung,betrag_eur,saldo_eur
2018-H1,Vorschuss Albumproduktion Küstenlärm (Album),-5000.00,-5000.00
2018-H2,Royalty-Gutschrift H2/2018,380.00,-4620.00
2019-H1,Royalty-Gutschrift H1/2019,420.00,-4200.00
2019-H2,Royalty-Gutschrift H2/2019,460.00,-3740.00
2020-H1,Royalty-Gutschrift H1/2020,340.00,-3400.00
2020-H2,Royalty-Gutschrift H2/2020,365.00,-3035.00
2021-H1,Royalty-Gutschrift H1/2021,470.00,-2565.00
2021-H2,Royalty-Gutschrift H2/2021,510.00,-2055.00
2022-H1,Royalty-Gutschrift H1/2022,540.00,-1515.00
2022-H2,Royalty-Gutschrift H2/2022,560.00,-955.00
2023-H1,Royalty-Gutschrift H1/2023,580.00,-375.00
2023-H2,Royalty-Gutschrift H2/2023,375.00,0.00
2024-H1,Royalty-Gutschrift H1/2024,310.50,310.50
2024-H1,Auszahlung an Künstlerin,-310.50,0.00
2024-H2,Royalty-Gutschrift H2/2024,288.20,288.20
2024-H2,Auszahlung an Künstlerin,-288.20,0.00
2025-H1,Royalty-Gutschrift H1/2025,152.76,152.76
