track,isrc,agentur_kontakt,medium,gebiet,status,honorar_eur,notiz
Nebenmeer - Nebelbank,DE-MCK-23-00161,Foghorn Sync Ltd. (Priya Raman),Online-Werbung,DACH,Angebot raus,8000,"Outdoor-Marke unter NDA; Angebots-Entwurf raus, siehe foghorn-thread_2026.md"
Signalgeber - Werkstor,DE-MCK-16-00012,Direktanfrage,Podcast,DACH,angefragt,1800,"Intro-Jingle fuer wiederkehrenden Tech-Podcast, noch kein Feedback"
Tomma Reeder - Kalter Kaffee,DE-MCK-18-00055,Direktanfrage,TV-Serie DACH,DACH,angefragt,15000,"Streaming-Serie, Musiksupervisorin meldet sich direkt ohne Agentur"
Elin Sörig - Neonlicht,DE-MCK-19-00071,Agentur Klangbruecke,Kino-Trailer regional,DACH-Nord,bestätigt,6500,"Laufzeit 6 Monate, Vertrag unterschrieben"
Nachtfähre - Nordkopf,DE-MCK-17-00033,Foghorn Sync Ltd. (Priya Raman),Doku,DACH,angefragt,4000,"Naturdoku-Pitch, Sender noch offen"
Tiefkühlhaus - Cold Store,DE-MCK-21-00112,Agentur Klangbruecke,Online-Werbung,DACH,abgelehnt,3200,"Kunde wollte exklusive Nutzung ueber Laufzeit hinaus, Konditionen nicht zusammengekommen"
Elbkoog - Deichbruch,DE-MCK-23-00151,Direktanfrage,TV-Serie DACH,DACH,angefragt,18000,"Landessender-Produktion, wartet auf interne Budgetfreigabe beim Sender"
Sommerdeich - Sturmflut B,DE-MCK-21-00122,Foghorn Sync Ltd. (Priya Raman),Podcast,DACH,bestätigt,2200,"Werbe-Bumper Reisepodcast, Rechnung folgt Q3"
Marschlicht - Priel I,DE-MCK-17-00041,Agentur Klangbruecke,Doku,DACH-AT,Angebot raus,5500,"Naturdoku, Sender-Entscheidung noch offen"
Signalgeber - Grauzone,DE-MCK-18-00061,Direktanfrage,Kino-Trailer regional,DACH-Nord,angefragt,9000,"Kurzfilm-Festivaltrailer, Kuerzung auf 30 Sek. gewuenscht"
