ISRC,Song Name,Artist Name,Quantity,Customer Currency,Extended Partner Share,Partner Share EUR
DE-MCK-19-00071,Neonlicht,Elin Sörig,41200,EUR,148.32,148.32
DE-MCK-19-00071,Neonlicht,Elin Soerig,8900,EUR,32.04,32.04
DE-MCK-20-00101,Blaue Stunde,Elin Sörig,58300,USD,239.03,217.52
DE-MCK-21-00121,Landunter,Sommerdeich,97400,EUR,379.86,379.86
DE-MCK-22-00141,Salzwasser,Elin Sörig,384700,USD,1654.21,1505.33
DE-MCK-22-00146,Halbmond über Altona,Elin Sörig,112800,EUR,428.64,428.64
DE-MCK-24-00171,Nachtfrost,Tiefkühlhaus,63500,USD,215.9,196.47
DE-MCK-23-00161,Nebelbank,Nebenmeer,26900,EUR,86.08,86.08
DE-MCK-17-00031,Kai,Nachtfähre,17800,EUR,51.62,51.62
DE-MCK-21-00111,Kühlkette,Tiefkühlhaus,33100,USD,109.23,99.4
DE-MCK-25-00181,Dritte Schicht,Signalgeber,24600,EUR,76.26,76.26
DE-MCK-16-00012,Werkstor,Signalgeber,4300,EUR,9.46,9.46
DE-MCK-19-00082,Deck 3,Nachtfähre,13700,USD,38.36,34.91
DE-MCK-20-00092,Low Water,Nebenmeer,19200,EUR,55.68,55.68
DE-MCK-21-00113,Minus Achtzehn,Tiefkühlhaus,15600,EUR,46.8,46.8
DE-MCK-22-00143,Unterströmung,Elin Sörig,48900,USD,171.15,155.75
DE-MCK-22-00148,Regen auf Beton,Elin Sörig,36200,EUR,123.08,123.08
DE-MCK-23-00152,Kooggrenze,Elbkoog,21400,EUR,62.06,62.06
DE-MCK-22-00135,Stillwasser,Marschlicht,11300,EUR,29.38,29.38
DE-MCK-25-00182,Nachtwache,Signalgeber,9700,USD,24.25,22.07
DE-MCK-17-00044,Wattlauf,Marschlicht,6200,EUR,14.88,14.88
