isrc,track_title,artist,streams_total,streams_monetized,revenue_eur
DE-MCK-16-00011,Frühschicht,Signalgeber,18400,16192,29.62
DE-MCK-16-00021,Halbschlaf,Tomma Reeder,24700,21242,44.95
DE-MCK-17-00031,Kai,Nachtfähre,62300,56070,122.11
DE-MCK-17-00033,Nordkopf,Nachtfähre,41900,37291,79.19
DE-MCK-17-00041,Priel I,Marschlicht,33150,30166,55.69
DE-MCK-18-00051,Küstenlärm,Tomma Reeder,58700,51069,119.16
DE-MCK-18-00055,Kalter Kaffee,Tomma Reeder,21300,18105,37.27
DE-MCK-18-00059,Letzte Fähre,Tomma Reeder,47850,42108,93.79
DE-MCK-18-00061,Grauzone,Signalgeber,39600,35640,72.07
DE-MCK-19-00071,Neonlicht,Elin Sörig,187400,174282,446.01
DE-MCK-19-00081,Überfahrt,Nachtfähre,94200,85722,204.41
DE-MCK-19-00085,Ankunft Puttgarden,Nachtfähre,52300,46547,106.17
DE-MCK-20-00091,Tidenhub,Nebenmeer,68900,62010,144.69
DE-MCK-20-00101,Blaue Stunde,Elin Sörig,210600,197964,515.97
DE-MCK-20-00103,Fährhafen,Elin Sörig,76400,70288,171.14
DE-MCK-21-00111,Kühlkette,Tiefkühlhaus,118700,108017,274.2
DE-MCK-21-00121,Landunter,Sommerdeich,342800,325660,863.86
DE-MCK-21-00122,Sturmflut B,Sommerdeich,58100,52290,126.08
DE-MCK-22-00131,Priel II,Marschlicht,44300,39870,83.73
DE-MCK-22-00141,Salzwasser,Elin Sörig,1480000,1420800,3936.8
DE-MCK-22-00142,Gischt,Elin Sörig,289400,272036,729.29
DE-MCK-22-00144,Leuchtfeuer,Elin Sörig,205700,191301,503.96
DE-MCK-22-00146,Halbmond über Altona,Elin Sörig,412300,391685,1067.86
DE-MCK-22-00149,Zwei Uhr nachts,Elin Sörig,178900,164588,425.78
DE-MCK-23-00151,Deichbruch,Elbkoog,156200,142142,349.89
DE-MCK-23-00153,Elbe abwärts,Elbkoog,63700,56693,129.31
DE-MCK-23-00161,Nebelbank,Nebenmeer,97400,87660,211.36
DE-MCK-24-00171,Nachtfrost,Tiefkühlhaus,224600,208878,534.55
DE-MCK-25-00181,Dritte Schicht,Signalgeber,88300,78587,185.43
DE-MCK-25-00183,Feierabendsirene,Signalgeber,34900,30363,63.52
